,,,Type,,Date,,Num,,P. O. #,,Name,,Terms,,Due Date,,Aging,,Open Balance
Current,,,,,,,,,,,,,,,,,,,
,,,Invoice,,05/31/2026,,24560,,NGC84803-0504,,Nicor Gas-,,"2% 15, Net 30",,06/30/2026,,,,"12,700.46"
,,,Invoice,,05/31/2026,,24598,,NGC84803-0507,,Nicor Gas-,,"2% 15, Net 30",,06/30/2026,,,,"21,072.88"
,,,Invoice,,05/31/2026,,24513,,NGC10024086,,Nicor Gas-,,"2% 15, Net 30",,06/30/2026,,,,"2,733.75"
,,,Invoice,,05/31/2026,,24599,,NGC84803-0507,,Nicor Gas-,,"2% 15, Net 30",,06/30/2026,,,,"2,326.45"
,,,Invoice,,05/31/2026,,24438,,NGC84803-0457,,Nicor Gas-,,"2% 15, Net 30",,06/30/2026,,,,"1,822.91"
,,,Invoice,,05/31/2026,,24609,,NGC84803-0508,,Nicor Gas-,,"2% 15, Net 30",,06/30/2026,,,,"6,371.76"
,,,Invoice,,05/31/2026,,24549,,NGC84803-0501,,NICOR NIPPLES,,"2% 15, Net 30",,06/30/2026,,,,"25,877.85"
,,,Invoice,,05/31/2026,,24546,,NGC84803-0502,,NICOR NIPPLES,,"2% 15, Net 30",,06/30/2026,,,,"13,133.18"
,,,Invoice,,05/31/2026,,24621,,NGC84803-0509,,Nicor Gas-,,"2% 15, Net 30",,06/30/2026,,,,716.60
Total Current,,,,,,,,,,,,,,,,,,,"86,755.84"
1 - 30,,,,,,,,,,,,,,,,,,,
,,,Invoice,,05/01/2026,,24539,,112243,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/15/2026,,30,,"2,266.30"
,,,Invoice,,05/01/2026,,24551,,112267-39721,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/15/2026,,30,,777.73
,,,Invoice,,05/01/2026,,24552,,112279-16519,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/15/2026,,30,,64.51
,,,Invoice,,05/01/2026,,24553,,112281,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/15/2026,,30,,"6,432.35"
,,,Invoice,,05/01/2026,,24067D,,306260000006,,F.E. Moran Inc.,,Net 30,,05/31/2026,,30,,"5,484.23"
,,,Invoice,,05/01/2026,,24068D,,306260000007,,F.E. Moran Inc.,,Net 30,,05/31/2026,,30,,"5,759.92"
,,,Invoice,,05/01/2026,,24555,,39911-PO-03,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/15/2026,,30,,160.63
,,,Invoice,,05/06/2026,,24486,,4502955776,,A.O. Smith WPC,,Net 30,,06/05/2026,,25,,"5,500.00"
,,,Invoice,,05/06/2026,,24556,,302605019001,,F.E. Moran Inc.,,"5% 30, Net 45",,06/20/2026,,25,,253.26
,,,Invoice,,05/06/2026,,24557D,,112354-39743,,Great Lakes Plumbing & Heating  Co.,,Net 30,,06/05/2026,,25,,173.80
,,,Invoice,,05/07/2026,,24561,,306209000037,,C&G Construction- FE Moran,,Net 30,,06/06/2026,,24,,"5,887.07"
,,,Invoice,,05/07/2026,,24562,,306209000030,,C&G Construction- FE Moran,,Net 30,,06/06/2026,,24,,"4,332.94"
,,,Invoice,,05/08/2026,,24565,,306398000006,,F.E. Moran Inc.,,"5% 30, Net 45",,06/22/2026,,23,,"8,809.95"
,,,Invoice,,05/08/2026,,24570D,,112422,,Great Lakes Plumbing & Heating  Co.,,Net 30,,06/07/2026,,23,,"7,267.68"
,,,Invoice,,05/08/2026,,24558,,61314,,Midwest Fire Supression,,"5% 30, Net 45",,06/22/2026,,23,,826.84
,,,Invoice,,05/08/2026,,24567,,61319,,Midwest Fire Supression,,"5% 30, Net 45",,06/22/2026,,23,,"5,278.47"
,,,Invoice,,05/08/2026,,24568,,61324,,Midwest Fire Supression,,"5% 30, Net 45",,06/22/2026,,23,,634.20
,,,Invoice,,05/08/2026,,24569,,61314,,Midwest Fire Supression,,"5% 30, Net 45",,06/22/2026,,23,,"1,530.98"
,,,Invoice,,05/11/2026,,24573,,39908-PO-01,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/25/2026,,20,,"3,640.82"
,,,Invoice,,05/11/2026,,24575,,39878-PO-05,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/25/2026,,20,,"1,350.44"
,,,Invoice,,05/11/2026,,24576,,39914-PO-05,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/25/2026,,20,,953.10
,,,Invoice,,05/13/2026,,24579,,112446,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/27/2026,,18,,"13,189.75"
,,,Invoice,,05/13/2026,,24580,,112522-39480,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/27/2026,,18,,87.43
,,,Invoice,,05/13/2026,,24581,,112507-39480,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/27/2026,,18,,293.98
,,,Invoice,,05/13/2026,,24582,,112516-39480,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/27/2026,,18,,189.89
,,,Invoice,,05/13/2026,,24583,,112538-16592,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/27/2026,,18,,646.23
,,,Invoice,,05/14/2026,,24559,,306209000041,,C&G Construction- FE Moran,,Net 30,,06/13/2026,,17,,"5,989.75"
,,,Invoice,,05/14/2026,,24587,,112537-39200,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/28/2026,,17,,"5,284.01"
,,,Invoice,,05/15/2026,,24592,,CFP24-0755,,Alpha Fire  - Chicago Fire,,Net 30,,06/14/2026,,16,,524.24
,,,Invoice,,05/19/2026,,24590,,61330,,Midwest Fire Supression,,"5% 30, Net 45",,07/03/2026,,12,,"7,980.55"
,,,Invoice,,05/19/2026,,24234,,31612126,,HILL,,"5% 30, Net 45",,07/03/2026,,12,,"4,996.12"
,,,Invoice,,05/20/2026,,24591,,61339,,Midwest Fire Supression,,"5% 30, Net 45",,07/04/2026,,11,,"15,828.96"
,,,Invoice,,05/20/2026,,24545,,NGC84803-0503,,Nicor Gas-,,"2% 15, Net 30",,06/19/2026,,11,,"3,927.46"
,,,Invoice,,05/20/2026,,24550,,NGC84803-0501,,Nicor Gas-,,"2% 15, Net 30",,06/19/2026,,11,,"3,716.81"
