,,Current,,1 - 30,,31 - 60,,61 - 90,,> 90,,TOTAL
,A & A Sprinkler,0.00,,0.00,,0.00,,0.00,,"-13,341.66",,"-13,341.66"
,A.O. Smith WPC,0.00,,"8,250.00",,0.00,,0.00,,0.00,,"8,250.00"
,Alpha Fire  - Chicago Fire,0.00,,"92,306.89",,"8,154.55",,"9,870.31",,0.00,,"110,331.75"
,C&G Construction- FE Moran,0.00,,"22,613.72",,0.00,,0.00,,0.00,,"22,613.72"
,Capital Trucking,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
,"Chicago Fire Protection, LLC",0.00,,"7,021.91",,0.00,,0.00,,0.00,,"7,021.91"
,F.E. Moran Inc.,0.00,,"75,848.68",,"57,745.09",,"14,120.14",,0.00,,"147,713.91"
,Great Lakes Plumbing & Heating  Co.,0.00,,"44,368.18",,"47,797.41",,0.00,,0.00,,"92,165.59"
,HILL,0.00,,"29,074.56",,0.00,,0.00,,0.00,,"29,074.56"
,Midwest Fire Supression,0.00,,"32,080.00",,"17,750.99",,0.00,,0.00,,"49,830.99"
,Nicor Gas-,"47,744.81",,"23,676.86",,"2,949.08",,0.00,,0.00,,"74,370.75"
,NICOR NIPPLES,"39,011.03",,"42,730.34",,0.00,,0.00,,0.00,,"81,741.37"
,Old System,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
TOTAL,,"86,755.84",,"377,971.14",,"134,397.12",,"23,990.45",,"-13,341.66",,"609,772.89"
,,,,,,,,,,,,
